id,userId,teamId
1,73,442
2,741,33
3,114,608
4,724,255
5,16,453
6,552,458
7,648,793
8,821,652
9,964,21
10,875,751
11,336,863
12,79,181
13,67,668
14,689,376
15,554,446
16,180,577
17,646,977
18,158,182
19,41,427
20,892,296
21,186,339
22,868,549
23,157,441
24,155,376
25,14,226
26,647,646
27,13,423
28,853,72
29,369,226
30,816,465
31,371,822
32,888,609
33,103,233
34,33,391
35,375,847
36,371,610
37,949,421
38,210,873
39,397,677
40,685,533
41,835,134
42,66,701
43,916,214
44,335,413
45,170,124
46,674,746
47,66,567
48,922,190
49,429,389
50,45,749
51,36,54
52,515,595
53,979,74
54,362,594
55,456,330
56,468,403
57,965,72
58,876,380
59,732,520
60,529,674
61,483,10
62,899,510
63,363,533
64,505,171
65,903,475
66,855,715
67,325,487
68,682,508
69,201,598
70,235,663
71,705,510
72,971,498
73,290,294
74,850,880
75,856,486
76,896,335
77,270,444
78,137,63
79,688,585
80,85,796
81,3,372
82,37,109
83,130,517
84,434,716
85,94,118
86,787,678
87,789,203
88,247,849
89,75,118
90,846,849
91,952,15
92,466,10
93,53,431
94,592,758
95,498,968
96,675,422
97,905,150
98,13,178
99,655,665
100,348,939
101,944,928
102,894,132
103,429,645
104,613,472
105,455,451
106,240,251
107,902,80
108,818,708
109,976,770
110,584,518
111,992,565
112,728,327
113,275,982
114,444,877
115,507,133
116,76,422
117,911,681
118,13,321
119,723,697
120,46,18
121,440,612
122,397,578
123,591,112
124,230,677
125,338,156
126,277,588
127,344,768
128,37,906
129,843,762
130,74,434
131,182,181
132,615,844
133,811,469
134,842,613
135,137,87
136,543,624
137,336,687
138,661,889
139,553,968
140,669,928
141,405,212
142,349,586
143,579,224
144,961,760
145,431,989
146,631,158
147,647,618
148,673,986
149,438,880
150,710,647
151,213,740
152,296,362
153,120,153
154,6,166
155,74,29
156,793,356
157,9,740
158,707,824
159,640,805
160,928,782
161,391,181
162,292,702
163,767,897
164,508,282
165,459,483
166,729,234
167,550,523
168,105,633
169,979,448
170,24,24
171,5,660
172,92,116
173,816,635
174,717,570
175,793,558
176,783,554
177,431,224
178,927,483
179,536,391
180,551,683
181,855,612
182,970,550
183,457,395
184,260,740
185,219,329
186,372,63
187,200,112
188,119,838
189,890,338
190,759,258
191,309,504
192,175,715
193,138,552
194,315,31
195,344,19
196,688,269
197,814,386
198,426,157
199,716,801
200,743,684
201,49,89
202,447,302
203,590,124
204,641,268
205,842,687
206,79,837
207,103,383
208,566,676
209,366,864
210,967,272
211,924,41
212,742,806
213,805,789
214,977,436
215,63,262
216,141,861
217,205,929
218,162,331
219,678,257
220,394,596
221,838,314
222,379,194
223,476,375
224,534,283
225,655,646
226,559,769
227,927,942
228,56,145
229,778,742
230,439,676
231,581,994
232,73,828
233,521,74
234,360,381
235,215,342
236,798,619
237,833,908
238,627,287
239,6,93
240,472,457
241,102,736
242,658,217
243,70,470
244,906,157
245,972,368
246,811,372
247,861,309
248,253,202
249,490,821
250,517,900
251,654,193
252,783,180
253,169,740
254,119,509
255,240,766
256,320,992
257,957,900
258,911,181
259,530,821
260,956,408
261,930,18
262,57,57
263,789,391
264,624,689
265,18,330
266,405,504
267,238,352
268,96,449
269,778,236
270,22,301
271,21,577
272,278,688
273,419,482
274,279,168
275,885,793
276,860,43
277,654,746
278,564,540
279,681,359
280,765,390
281,886,734
282,48,94
283,62,741
284,730,571
285,57,720
286,311,275
287,188,944
288,148,458
289,902,764
290,144,746
291,458,814
292,746,152
293,73,478
294,16,304
295,743,884
296,36,885
297,40,640
298,342,507
299,22,284
300,595,142
301,811,606
302,13,57
303,642,49
304,439,168
305,438,218
306,948,824
307,219,29
308,227,438
309,505,890
310,2,689
311,471,931
312,221,845
313,967,168
314,29,4
315,279,350
316,361,762
317,164,666
318,337,448
319,450,634
320,949,166
321,131,752
322,79,205
323,469,357
324,729,539
325,977,941
326,625,832
327,532,243
328,827,967
329,55,657
330,864,754
331,730,6
332,553,283
333,312,696
334,832,511
335,953,137
336,360,243
337,702,242
338,478,403
339,456,836
340,302,437
341,344,18
342,548,566
343,242,528
344,653,743
345,554,969
346,246,800
347,12,533
348,695,864
349,683,505
350,369,564
351,486,322
352,639,890
353,861,494
354,28,704
355,864,678
356,788,195
357,37,507
358,761,441
359,419,221
360,925,905
361,399,733
362,892,360
363,339,498
364,702,820
365,393,137
366,338,391
367,34,911
368,887,980
369,796,100
370,295,180
371,771,900
372,3,124
373,224,904
374,780,378
375,788,34
376,884,872
377,940,366
378,238,614
379,656,448
380,558,849
381,273,814
382,934,216
383,927,676
384,773,675
385,608,427
386,635,391
387,689,113
388,938,469
389,463,348
390,48,785
391,390,218
392,958,64
393,468,87
394,150,168
395,944,169
396,94,539
397,662,649
398,718,735
399,150,537
400,449,550
401,398,90
402,765,275
403,77,702
404,911,709
405,910,476
406,434,285
407,274,68
408,540,954
409,422,541
410,359,202
411,164,1
412,510,528
413,797,415
414,269,480
415,304,441
416,303,451
417,72,950
418,392,371
419,93,872
420,229,837
421,432,835
422,102,407
423,423,639
424,284,406
425,117,804
426,503,765
427,275,262
428,676,495
429,792,181
430,410,411
431,315,470
432,915,494
433,540,553
434,618,482
435,91,490
436,724,222
437,689,312
438,454,589
439,765,260
440,523,457
441,77,732
442,140,1
443,885,233
444,7,675
445,825,998
446,944,851
447,305,726
448,395,617
449,580,139
450,445,348
451,114,132
452,926,139
453,801,553
454,923,135
455,951,764
456,16,929
457,337,468
458,185,243
459,138,964
460,940,700
461,222,182
462,239,726
463,65,333
464,560,916
465,824,780
466,923,834
467,951,406
468,446,853
469,354,729
470,26,8
471,767,574
472,163,955
473,763,231
474,938,21
475,402,84
476,568,36
477,559,993
478,512,898
479,426,341
480,433,973
481,290,637
482,188,38
483,124,703
484,250,223
485,328,798
486,229,543
487,168,465
488,229,869
489,206,570
490,737,528
491,62,348
492,253,91
493,580,506
494,652,288
495,431,950
496,113,841
497,834,635
498,743,995
499,480,638
500,661,304
501,879,210
502,999,432
503,389,536
504,197,302
505,116,529
506,336,464
507,453,984
508,844,228
509,533,932
510,768,15
511,423,497
512,27,132
513,648,202
514,787,344
515,314,266
516,894,646
517,915,417
518,417,1000
519,352,790
520,682,62
521,727,904
522,469,200
523,418,75
524,342,53
525,551,69
526,291,198
527,499,589
528,794,546
529,351,468
530,187,307
531,913,720
532,31,490
533,227,912
534,922,219
535,187,376
536,155,774
537,674,754
538,78,766
539,822,854
540,933,489
541,264,852
542,436,468
543,784,18
544,305,408
545,135,504
546,546,735
547,977,983
548,4,964
549,759,794
550,153,727
551,640,354
552,451,432
553,194,341
554,941,701
555,907,644
556,298,369
557,509,987
558,936,976
559,155,231
560,276,226
561,870,973
562,295,4
563,407,824
564,778,49
565,557,54
566,972,857
567,219,45
568,603,427
569,839,992
570,92,561
571,787,285
572,138,92
573,603,226
574,301,394
575,346,489
576,235,299
577,718,453
578,406,843
579,644,204
580,207,843
581,58,701
582,749,963
583,184,874
584,961,472
585,866,117
586,615,68
587,692,499
588,760,27
589,221,629
590,670,835
591,891,969
592,741,398
593,353,154
594,960,423
595,239,94
596,902,65
597,651,736
598,348,486
599,583,599
600,52,217
601,118,963
602,478,906
603,342,809
604,117,386
605,694,477
606,552,937
607,434,792
608,609,724
609,854,669
610,23,138
611,796,826
612,249,933
613,81,865
614,940,626
615,498,393
616,815,428
617,771,447
618,37,294
619,378,146
620,579,853
621,2,353
622,990,744
623,205,581
624,422,305
625,311,950
626,571,207
627,638,589
628,756,932
629,587,165
630,323,550
631,817,860
632,33,700
633,128,815
634,221,319
635,126,538
636,165,327
637,303,752
638,533,55
639,48,198
640,351,40
641,972,199
642,661,212
643,218,540
644,796,246
645,547,14
646,575,316
647,429,365
648,424,415
649,244,945
650,243,706
651,119,908
652,144,300
653,123,810
654,109,160
655,303,884
656,182,275
657,485,408
658,183,555
659,284,584
660,105,693
661,810,707
662,201,887
663,608,997
664,449,463
665,33,652
666,875,893
667,188,103
668,109,399
669,413,134
670,166,108
671,855,920
672,492,841
673,960,615
674,195,159
675,997,151
676,975,230
677,907,860
678,746,716
679,924,561
680,542,233
681,294,34
682,747,129
683,758,513
684,947,745
685,442,678
686,867,1000
687,856,211
688,47,65
689,23,209
690,370,662
691,999,570
692,153,277
693,403,328
694,436,933
695,859,132
696,813,317
697,566,39
698,476,114
699,717,761
700,215,351
701,422,376
702,465,99
703,51,232
704,247,46
705,355,840
706,230,421
707,931,929
708,783,763
709,481,948
710,524,805
711,212,736
712,438,904
713,458,159
714,265,868
715,216,374
716,672,13
717,246,155
718,560,799
719,10,692
720,837,188
721,937,497
722,444,100
723,773,816
724,913,163
725,256,298
726,459,796
727,269,871
728,471,912
729,277,453
730,948,102
731,929,782
732,647,276
733,506,984
734,71,181
735,777,708
736,440,632
737,378,803
738,194,290
739,405,28
740,986,740
741,990,22
742,340,510
743,200,5
744,490,458
745,215,358
746,191,403
747,234,519
748,954,834
749,333,33
750,807,675
751,743,759
752,299,897
753,618,742
754,371,416
755,76,115
756,37,194
757,720,472
758,124,34
759,800,246
760,1000,771
761,892,457
762,414,262
763,418,91
764,63,819
765,252,751
766,874,468
767,680,529
768,427,853
769,526,133
770,682,799
771,643,21
772,322,237
773,101,925
774,730,449
775,711,927
776,172,37
777,991,343
778,19,35
779,159,998
780,177,693
781,375,164
782,41,744
783,317,386
784,587,713
785,713,741
786,682,711
787,645,997
788,325,186
789,14,777
790,540,124
791,831,993
792,959,382
793,628,919
794,617,555
795,649,99
796,600,901
797,1000,488
798,642,218
799,980,91
800,882,193
801,592,203
802,124,756
803,213,468
804,550,27
805,251,933
806,371,90
807,425,935
808,583,110
809,892,291
810,190,959
811,969,231
812,945,974
813,461,930
814,187,743
815,921,194
816,933,787
817,296,349
818,392,926
819,255,330
820,591,971
821,394,403
822,75,833
823,57,872
824,26,527
825,292,195
826,500,378
827,472,66
828,513,324
829,902,830
830,764,579
831,764,191
832,616,779
833,632,618
834,10,737
835,309,522
836,518,802
837,891,974
838,332,544
839,796,961
840,410,698
841,75,926
842,247,873
843,290,994
844,268,979
845,206,44
846,855,486
847,368,305
848,938,838
849,710,568
850,647,390
851,658,715
852,602,413
853,2,707
854,496,656
855,514,456
856,77,902
857,890,766
858,145,815
859,19,651
860,680,376
861,599,514
862,333,407
863,909,161
864,36,79
865,473,190
866,550,415
867,104,628
868,477,206
869,518,824
870,980,420
871,392,731
872,767,989
873,578,123
874,844,342
875,635,106
876,225,32
877,330,851
878,717,154
879,358,531
880,736,834
881,347,605
882,2,460
883,261,60
884,276,938
885,570,139
886,800,682
887,295,624
888,732,627
889,862,399
890,852,566
891,228,667
892,798,577
893,446,338
894,584,695
895,61,85
896,225,463
897,236,12
898,279,768
899,369,296
900,120,385
901,165,833
902,34,840
903,805,275
904,649,994
905,35,808
906,902,750
907,152,433
908,303,149
909,379,17
910,85,309
911,529,827
912,597,469
913,900,492
914,39,977
915,158,857
916,510,614
917,965,655
918,360,171
919,948,860
920,764,80
921,553,81
922,488,85
923,360,898
924,776,430
925,23,719
926,860,782
927,566,651
928,57,346
929,427,306
930,319,761
931,645,255
932,578,652
933,987,456
934,868,74
935,93,626
936,636,50
937,925,184
938,999,719
939,535,19
940,847,819
941,684,403
942,504,430
943,999,558
944,766,137
945,87,11
946,376,894
947,148,245
948,874,360
949,108,307
950,791,258
951,961,883
952,603,438
953,689,550
954,629,952
955,960,390
956,152,298
